StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q134,method_fair,Q132,Q131,Q127,Q129,Q135,age,Q136,Q137,Q137_3_TEXT,Q138,Q139,Q140,MTurkCode,nonalg_method,budget,money,nonalg_method_present
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Can you explain briefly in your own words what it means for the school counselor to use a predictive model to choose which students get mentors.
As a reminder, a predictive model would use a large amount of data about students--their past years' attendance; their parent's income; how far they live from school--to predict which students will miss a lot of school.",Which method for deciding which students get mentors is more fair?,Explain why you think the [QID41-ChoiceGroup-SelectedChoices] is more fair than the [QID41-ChoiceGroup-UnselectedChoices].,"You told us that the [QID41-ChoiceGroup-SelectedChoices] is more fair. Do you think that, if the school counselor picks students this way, the students who deserve mentors will get them?",How fair is it it for the school counselor to pick which students get mentors [Field-nonalg_method_present]?,How fair is it it for the school counselor to pick which students get mentors using a predictive model/algorithm?,"What input do you think parents should have about whether the district switches to using a predictive model to help the counselor decide who gets mentors?

 

As a reminder, in the past, the school counselor has [Field-nonalg_method]. The district is considering switching to a predictive model because they have [Field-money] money for mentors this year and they want to use it fairly.",What is your age?,What is the highest level of education you have completed?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,Do you have children? Are are any of them school-aged? (3-18),"When it comes to politics, do you usually think of yourself as:",Please enter your zip code; it will be used to get more information about the type of city/town you live in,MTurkCode,nonalg_method,budget,money,nonalg_method_present
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID141_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID138""}","{""ImportId"":""QID134""}","{""ImportId"":""QID136""}","{""ImportId"":""QID142_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID144_3_TEXT""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147_TEXT""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""nonalg_method""}","{""ImportId"":""budget""}","{""ImportId"":""money""}","{""ImportId"":""nonalg_method_present""}"
2019-08-19 17:52:31,2019-08-19 17:52:31,Survey Test,*******,100,0,True,2019-08-19 17:52:31,R_4SWZOFoLGcnzUgZ,*******,*******,*******,*******,*******,*******,test,,Purus? Eros imperdiet nulla elementum commodo nulla vestibulum tincidunt lectus.,school counselor using a predictive model/algorithm,Tempora odio fermentum ullamcorper culpa pharetra etiam? Purus. In nec.,"Yes, students who deserve mentors will get them",Extremely fair,Neither fair nor unfair,"Scelerisque suspendisse! Tellus etiam magnis, orci sed. Facilisis eget arcu nibh luctus scelerisque.",21,Some high school or less,Male,,I do not have children,"Moderate, Middle of road",,,used parents' requests for a mentor for their child,smaller budget,less,using parents' requests for a mentor for their child
2019-08-19 17:52:31,2019-08-19 17:52:31,Survey Test,*******,100,0,True,2019-08-19 17:52:31,R_cRZXEruh044KBH7,*******,*******,*******,*******,*******,*******,test,,"Amet, viverra urna sem dapibus magnis ut per mi blandit iaculis posuere rutrum.",school counselor ${e://Field/nonalg_method_present},Quam temporibus nunc. Commodo odio commodo nulla! Placerat placerat sodales malesuada maecenas faucibus.,"No, students who deserve mentors will still not get them",Extremely unfair,Somewhat unfair,"Fusce, dolorem potenti? Auctor suspendisse accumsan nullam eros vehicula. Duis.",6,4-year college degree,Male,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",,,used his judgment,smaller budget,less,using his judgment
2019-08-19 17:52:32,2019-08-19 17:52:32,Survey Test,*******,100,0,True,2019-08-19 17:52:32,R_0cfMke89LRhAf09,*******,*******,*******,*******,*******,*******,test,,Consectetuer magnis cras! Massa sollicitudin fusce malesuada. Rhoncus sed vestibulum tellus commodo egestas.,school counselor ${e://Field/nonalg_method_present},"Ante, diam elit praesent ultricies, elit rhoncus accumsan sagittis ridiculus faucibus fusce eleifend nec.","Yes, students who deserve mentors will get them",Extremely fair,Somewhat fair,Lacus! Rutrum ligula vel. Per amet nunc venenatis ante sagittis. Leo risus.,21,Some high school or less,Other (please specify),"Augue vehicula? Non dolorem dictumst. Porttitor massa? Montes ab, aliquet atque sed.",I have children and at least one is school-aged (3-18),"Moderate, Middle of road",,,used an income cutoff,smaller budget,less,using an income cutoff
2019-08-19 17:52:32,2019-08-19 17:52:32,Survey Test,*******,100,0,True,2019-08-19 17:52:32,R_ddqDl3lBVLtoH9b,*******,*******,*******,*******,*******,*******,test,,"Dui curabitur primis nullam sem ante ab ridiculus eu, magna, quam blandit neque nullam consequat.",school counselor ${e://Field/nonalg_method_present},"Pellentesque accusamus tempor odio pellentesque at? Sed. Nulla, etiam sapien pellentesque temporibus at suscipit facilisis.","Yes, students who deserve mentors will get them",Extremely fair,Extremely fair,"Temporibus temporibus diam aliquam fusce sem est consectetuer velit, consectetuer! Tortor montes magna. Porta.",14,High school diploma or GED,Male,,I have children and at least one is school-aged (3-18),Slightly conservative,,,drawn students’ names randomly,smaller budget,less,drawing students' names randomly
2019-08-19 17:52:32,2019-08-19 17:52:32,Survey Test,*******,100,0,True,2019-08-19 17:52:32,R_6u25gFozz5wJgm9,*******,*******,*******,*******,*******,*******,test,,Metus ullamcorper blandit venenatis platea dictumst dui in ante suscipit pharetra id aliquam.,school counselor using a predictive model/algorithm,Phasellus montes integer interdum dolor facilisis odio in! Purus? Posuere consequat eros.,"No, students who deserve mentors will still not get them",Extremely fair,Extremely fair,"Mi faucibus! Magnis. Metus fringilla eleifend ante magna luctus, lorem.",96,Some high school or less,Other (please specify),"Ut est tortor pretium eget ligula. Natoque. Elementum, vivamus ante dignissim.",I have children and at least one is school-aged (3-18),Slightly liberal,,,used his judgment,smaller budget,less,using his judgment
2019-08-19 17:52:32,2019-08-19 17:52:32,Survey Test,*******,100,0,True,2019-08-19 17:52:32,R_bHqbfJVU6ihCMRv,*******,*******,*******,*******,*******,*******,test,,Magnis fringilla facilisis primis nunc gravida quam vehicula massa bibendum. Accusamus duis.,school counselor ${e://Field/nonalg_method_present},Suscipit ligula ultricies felis duis velit eu praesent sapien vel.,"No, students who deserve mentors will still not get them",Somewhat unfair,Somewhat unfair,Sed volutpat fusce non. Vel ipsum! Id duis ab placerat consectetuer phasellus massa.,35,4-year college degree,Male,,I have children but none are school age (they're younger than 3 or older than 18),Extremely liberal,,,used an income cutoff,smaller budget,less,using an income cutoff
2019-08-19 17:52:32,2019-08-19 17:52:32,Survey Test,*******,100,0,True,2019-08-19 17:52:32,R_1GI4VMzU8th3nSd,*******,*******,*******,*******,*******,*******,test,,Facilisi. Ultricies! Sed imperdiet nunc ac? Luctus. Egestas facilisis? Purus. Vulputate enim eleifend commodo viverra.,school counselor using a predictive model/algorithm,Natoque tincidunt accusamus. Sapien ante orci metus sem. Vehicula rhoncus massa risus curabitur porta ante.,"No, students who deserve mentors will still not get them",Neither fair nor unfair,Neither fair nor unfair,"Facilisi, dictumst ligula luctus nullam ut ligula pharetra ante ligula. Ut.",34,4-year college degree,Other (please specify),Etiam porta natoque ridiculus! Non ullamcorper? Scelerisque! Luctus diam ridiculus? Potenti? Curabitur.,I have children and at least one is school-aged (3-18),Slightly liberal,,,drawn students’ names randomly,smaller budget,less,drawing students' names randomly
2019-08-19 17:52:32,2019-08-19 17:52:32,Survey Test,*******,100,0,True,2019-08-19 17:52:33,R_e4X571QytaLjmlf,*******,*******,*******,*******,*******,*******,test,,Fermentum justo dignissim at lacus vel? Tempor nullam duis justo. Luctus accumsan ante.,school counselor ${e://Field/nonalg_method_present},Integer? Arcu augue pretium nullam magnis convallis augue arcu. Sem.,"Yes, students who deserve mentors will get them",Somewhat fair,Somewhat unfair,Vestibulum eget eget aenean sit viverra ab integer blandit lectus! Scelerisque posuere ultricies imperdiet enim.,94,Some college or 2-year college,Male,,I have children but none are school age (they're younger than 3 or older than 18),Conservative,,,used parents' requests for a mentor for their child,smaller budget,less,using parents' requests for a mentor for their child
