StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q134,method_fair,Q132,Q141,Q129,Q135,age,Q136,Q137,Q137_3_TEXT,Q138,Q139,Q140,MTurkCode,budget,money
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Can you explain briefly in your own words what it means for the school counselor to use a predictive model to choose which students get mentors.
As a reminder, a predictive model would use a large amount of data about students--their past years' attendance; their parent's income; how far they live from school--to predict which students will miss a lot of school.",Do you think the school counselor using a predictive model to decide which students get mentors is fair?,Explain why you think the school counselor using a predictive model to decide which students get mentors is not fair,Explain why you think the school counselor using a predictive model to decide which students get mentors is fair,How fair is it it for the school counselor to pick which students get mentors using a predictive model/algorithm?,"What input do you think parents should have about whether the district switches to using a predictive model to help the counselor decide who gets mentors?

 

As a reminder, the district is considering switching to a predictive model because they have [Field-money] money for mentors this year and they want to use it fairly.",What is your age?,What is the highest level of education you have completed?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,Do you have children? Are are any of them school-aged? (3-18),"When it comes to politics, do you usually think of yourself as:",Please enter your zip code; it will be used to get more information about the type of city/town you live in,MTurkCode,budget,money
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID141_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID148_TEXT""}","{""ImportId"":""QID136""}","{""ImportId"":""QID142_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID144_3_TEXT""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147_TEXT""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""budget""}","{""ImportId"":""money""}"
2019-10-18 17:28:53,2019-10-18 17:30:54,IP Address,*******,100,121,True,2019-10-18 17:30:54,R_2bZXSuRxKsgBXEW,*******,*******,*******,*******,*******,*******,anonymous,EN,69000,Yes it is fair,,I feel that,Extremely fair,Yes,30,4-year college degree,Male,,I have children but none are school age (they're younger than 3 or older than 18),Extremely liberal,79913,18266,larger budget,more
2019-10-18 17:29:47,2019-10-18 17:32:53,IP Address,*******,100,185,True,2019-10-18 17:32:53,R_1f70Aibb5AJ614N,*******,*******,*******,*******,*******,*******,anonymous,EN,senior students will miss a lot of school,Yes it is fair,,A predictive model to decide which students get mentors is fair,Somewhat fair,The district is considering switching to a predictive model,31,4-year college degree,Male,,I do not have children,Slightly liberal,77706,15657,smaller budget,less
2019-10-18 17:29:12,2019-10-18 17:32:55,IP Address,*******,100,222,True,2019-10-18 17:32:55,R_2U5u763xDpsoNy6,*******,*******,*******,*******,*******,*******,anonymous,EN,The school would have a program that checks into different aspects of the students' lives and sees which students would benefit the most from having a mentor to prevent them from missing school.,Yes it is fair,,"I think it's fair because it's using a variety of information to come to that conclusion. I think that if the model were not effective, it would be proven over time and they could alter it or try a different method.",Somewhat fair,"I think that if a parent suggests their student needs a mentor and the model didn't select them, their parent's input should override the model.",30,Some college or 2-year college,Male,,I do not have children,Slightly liberal,08081,13297,larger budget,more
2019-10-18 17:28:46,2019-10-18 17:33:07,IP Address,*******,100,261,True,2019-10-18 17:33:08,R_Oe3Nkvy0FhviNpf,*******,*******,*******,*******,*******,*******,anonymous,EN,The predictive model throws fairness to the winds and tries to find the students in the most need. The model will attempt to find those students who will most need the mentor based on previously acquired data.,No it is not fair,Fair would mean that everyone would receive the benefits of a mentor. It is inherently unfair to those students who don't get the use of a mentor compared to those who do. Who is more deserving is a separate conversation than fairness,,Somewhat unfair,"The district serves the needs of all the families, so input from the parents on which way to pick should be vital.",35,4-year college degree,Male,,I do not have children,"Moderate, Middle of road",23608,17542,smaller budget,less
2019-10-18 17:29:03,2019-10-18 17:33:17,IP Address,*******,100,254,True,2019-10-18 17:33:18,R_23fvGUbNq4vQxDu,*******,*******,*******,*******,*******,*******,anonymous,EN,"It would make the counselor job a lot easier, the predictive model would also be fair, so the students that need mentors the most would get them",Yes it is fair,,"A computer model is not biased, so it would be completely fair based on the data it has",Extremely fair,"They should have some input, but the decision should not be theirs, since they would be biased ",33,Some high school or less,Female,,I have children and at least one is school-aged (3-18),Liberal,24501,14763,smaller budget,less
2019-10-18 17:29:12,2019-10-18 17:33:30,IP Address,*******,100,258,True,2019-10-18 17:33:30,R_1hKJoW8eOloSNKr,*******,*******,*******,*******,*******,*******,anonymous,EN,the students are intelligence and our rol model in our teachers,Yes it is fair,,intelligence student,Extremely fair,all our useful in this system,30,4-year college degree,Male,,I do not have children,Conservative,54757,18845,smaller budget,less
2019-10-18 17:29:17,2019-10-18 17:33:56,IP Address,*******,100,278,True,2019-10-18 17:33:56,R_1Fn4CGj3ul10a2a,*******,*******,*******,*******,*******,*******,anonymous,EN,The counselor will use the predictive model to see who needs the money and who will make the most out of it.,Yes it is fair,,The model can look at large amounts of data and may have a better understanding of the situation than a human.,Extremely fair,It's hard to calculate what the effects would be if some were or were not given access to mentoring. I guess all parents can do is make a case for their kids needs.,42,High school diploma or GED,Male,,I do not have children,Extremely liberal,96720,11874,smaller budget,less
2019-10-18 17:31:53,2019-10-18 17:34:25,IP Address,*******,100,152,True,2019-10-18 17:34:26,R_AnRFsSdMnOz7vih,*******,*******,*******,*******,*******,*******,anonymous,EN,"The algorithm would look at whoever was the worst off; poorest, furthest away, not attending, etc and decide if they should be one of the ones to get a mentor",Yes it is fair,,"Well because you've got to give them to someone, so why not have the computer determine it? They are smart and it's user created anyway.",Extremely fair,It should be none of their opinion. who cares about the parents.,33,Graduate or professional school,Male,,I do not have children,Extremely liberal,55428,10442,smaller budget,less
2019-10-18 17:29:58,2019-10-18 17:34:30,IP Address,*******,100,272,True,2019-10-18 17:34:30,R_3oXUWfnbLRIl5T8,*******,*******,*******,*******,*******,*******,anonymous,EN,It think that it is a good start as it would make the decisions easier and not biased. These kinds of things can be measured to see if they work and changed if needed. You have to start somewhere and have a model to learn from and go off of.,Yes it is fair,,It is non biased and uses fair statistics to figure which kids would be at most risk for failure.,Extremely fair,They should have some input as long as it is constructive. The parents can also be biased for their own more than other kids.,38,Some college or 2-year college,Male,,I do not have children,Slightly liberal,75062,14290,larger budget,more
2019-10-18 17:29:41,2019-10-18 17:34:35,IP Address,*******,100,294,True,2019-10-18 17:34:35,R_rlHS3D4h81YNgzf,*******,*******,*******,*******,*******,*******,anonymous,EN,The computer would use prediction as a means of assigning so-called high-risk students with a mentor.,No it is not fair,"If such a system existed when I was in school, I wouldn't have been chosen. Yet something like a mentor might've kept me coming back. I was a straight A student. I was in Honors classes. I was BORED and quickly realized no one cared about me, so I stopped going to school. How many kids like me would a program miss? Oh and my family wasn't poor. My parents were going through a divorce at the time, but that wouldn't have been enough.",,Somewhat unfair,"Since its their children, they should have a say or vote.",38,Some high school or less,Female,,I have children and at least one is school-aged (3-18),Liberal,36353,16212,larger budget,more
2019-10-18 17:29:38,2019-10-18 17:34:57,IP Address,*******,100,319,True,2019-10-18 17:34:57,R_1E6R5Apb3x0GCmw,*******,*******,*******,*******,*******,*******,anonymous,EN,"A predicitive model will analyze different factors such as attendence, parents income and distance from school to essentially create a tangible ranking system for which students require a mentor the most.",No it is not fair,"A predictive model cannot take into account factors such as illness, home-life, and actual desire to have a mentor. Mentors will be more effective with students who actually want them and have parents who are willing to support them.",,Somewhat unfair,I think parents should give input on whether they think their child should or should not get a mentor. Switching to a predictive model could mean students who previously had a mentor would not and parents should give input on whether children already in the program should get to remain regardless of what the system would say.,20,Some college or 2-year college,Female,,I do not have children,Extremely Conservative,12208,16233,larger budget,more
2019-10-18 17:33:23,2019-10-18 17:35:06,IP Address,*******,100,102,True,2019-10-18 17:35:06,R_1gjvKG8x3Raado9,*******,*******,*******,*******,*******,*******,anonymous,EN,It would save a lot of time for the counselor and it would also use actual data to get likely more accurate results.,Yes it is fair,,"I think if it's using factual data and being biased, it would help.",Somewhat fair,"I think they should give the freedom for the child to say yes or no, or let them be able to have a manual part in choosing if they care that much about who they get fixed up with.",27,Some college or 2-year college,Female,,I do not have children,Liberal,90808,14990,larger budget,more
2019-10-18 17:30:40,2019-10-18 17:35:24,IP Address,*******,100,284,True,2019-10-18 17:35:25,R_2zkIlTce7RhfKgo,*******,*******,*******,*******,*******,*******,anonymous,EN,"Using factors to highlight the kids who are most at risk of missing a lot of school, and therefore who would most benefit from the extra attention and accountability of a mentor.",Yes it is fair,,There are known factors that indicate which students are most likely to miss school. Responding to these factors is smart and efficient.,Somewhat fair,"I don't think the parents should be involved in the decision. The kids who are most at risk are the ones with ineffective parents and the parents least likely to take action. Additionally pride may stop parents from wanting to use the service. Instead it would be better to let parents think there is random assignment or that every kid gets a mentor, so they think they haven't been singled out.",32,4-year college degree,Female,,I have children and at least one is school-aged (3-18),Liberal,92582,13978,smaller budget,less
