"response_id","points_rank","fcfs_rank","lottery_rank","fr_why_first_over_second","fr_why_second_over_third"
46,3,1,2,"Everyone will be equally important","Everyone will be equally important"
36,2,3,1,"Because then it is purely by chance there is no special treatment or privileges that is unfair to everyone in need.
","Because it hopefully assigns a fair point system to the individuals most in need based on hopefully less biased metrics."
45,3,1,2,"Because the people who first submitted the application became interested in their company and know that they will not be able to do it without help.","Because in the point system there was a criterion in which companies run by women receive additional points, which is not fair. It is now popular to try to increase the proportion of women in leader positions, but it was not without reason that this was the case in the past. If women are struggling with discrimination by discriminating against men this is not appropriate.

"
37,2,3,1,"everyone has the exact same chance","points-based is based on criteria, while first-come first-served may just be who hears about it first, not who truly needs it"
4,1,2,3,"First served can be used by bots and a lottery is always an unfair method.","because people that don't really need the money can be choose"
13,1,2,3,"I feel that it shows more effort","Also shows more effort than the lottery"
11,1,2,3,"A point system is more fair because it takes different factors into consideration thus ensuring equitable distribution of the resources.","A lottery is too random, people who are able to get everything in order to apply should be rewarded for their effort instead of it being left to chance."
17,1,3,2,"I think point system will make it more likely that people who need the money the most and will benefit the most will get it. Many people will apply even if they don't absolutely need it.","I think those who apply first may have access to more resources. They found out first and had the capability to apply first, which may show they already have other advantages. Those who hear about it later, have difficulty applying, or do not use English as their first language most likely need the money the most but may not be able to apply as quickly."
34,2,1,3,"Allowing businesses to be ambitious to receive government help is what will motivate them to do so in the first place. Having a lottery in place will provide no motivation to seek any help since they know it's all random.","Lottery is just one hundred percent random so no one would be able to take any initiative to receive any help."
39,2,3,1,"I think it should just be random if everyone isn't getting them. No one should get ahead in the system. Just do it fairly.","First come first serve is dumb. Not everyone has the time."
10,1,2,3,"Cause what if you are not able to apply for it right away. And it is gone before you even had a chance to know.","They can pick who they liked. It is not based on who applied first."
35,2,3,1,"There is no bias with a lottery system","It requires demonstrating need"
2,1,2,3,"A points system takes into account the actual situations of the company; someone who needs it more but did not apply first would have a chance to receive the assistance they need.","First-come, first-served requires companies to put in the effort to try hard to receive the aid. The lottery does not."
6,1,2,3,"It sounds like it would provide a more nuanced, thoughtful approach than the other two options. First-come, first-served seems like it could leave out businesses that are preoccupied with their concerns and miss the announcement, and a lottery just seems too random.","A lottery seems like it's just abandoning all attempts to make a rational decision about the disbursement of funds."
30,1,3,2,"",""
15,1,2,3,"When a point system is use,  there will be more justification than just a lottery and first swrved","Lottery system is not justified"
32,2,1,3,"Ultimately first come first serve is always the fairest option.","The lottery is unfair because a business who doesn't not deserve the funds or is not as prepared may get the funds over another business who is,"
51,3,2,1,"Lottery system allows the choice to be based upon randomness!","The points system was factoring in if they were owned by women. Not a good move whatsoever when people already feel so incredibly divisive during the COVID-19 pandemic."
