"prol_id","choice","fr_why_first_over_second","fr_why_second_over_third","coder"
"5bf8f34abdd6400001bd5e66","lp","I think they are about equal, but to be completely fair to owners, I chose the lottery system.","I believe it because it may give money to businesses that don't need it as much as some others do.","K"
"5fd8e27b6feb8e0d22eb3bd0","fl","I think that the businesses that have the initiative to get the funding or help they need first are the ones that deserve it the most.  Some people like to slack off and expect others to do everything for them, this includes some businesses.","I don't think that basing the fact you are a woman or have sustained a certain amount of damage should be the basis for funding.","K"
"5f5d3cc76943f05807b31df5","pf","While I think every person and business has struggled during this pandemic, I don't think it's accurate to say that everyone has struggled equally. Some businesses need more aid than others, especially if they are being discriminated against for loans etc. because of gender.","The lottery is ""fair"" in the theoretical sense that randomization ensures no bias, but I think you need to take into account the factors of each business and how much they have struggled and the separate challenges they have faced.","K"
"5d57062817ee8d0001cda0f6","lf","It's less a reason for people to suspect favoritism is going on.","Everyone has the chance to apply at the same time.","K"
"5dd2eb4998981d2f9d3d6e7b","lf","The first come first served seems most likely to be corrupted by who you know and inside information.","I picture the points system as a bureaucracy nightmare and prone to who you know corruption.","K"
"5f5023517ef2f019cf3ebb57","fl","In this case it doesn't matter what race you are.","This also is a random method so race does not come up.","K"
"5e3efbdf8c5c2015bfcdf4f2","pf","The points system takes a variety of factors into consideration, whereas the lottery system is random and the first-come, first-served system is speed-based.","I think a lottery is least fair because a random selection takes into account no specific factors of the business itself.","K"
"5eefffc64a6f612cce2f349d","lf","Because it is not a biased approach. It considers all eligible businesses the same and randomly selects.","Because you are placing some groups above others so by nature it is not fair. For example, you would give minority-owned businesses preferential treatment over non minority-owned businesses.","K"
"5f90904c2cf648152f4d1aa8","pl","The points system would give funding to minority owners, who have historically been oppressed by the government and banking system. It would be great if they were given a little help since they are already being treated unfairly.","This gives an advantage to people who are more easily able to submit their application. Minorities tend to live in locations with less access to transportation, so this would put them at a disadvantage.","K"
"5c8541b79c5a3000016b2597","pl","First come first served penalizes businesses that didn't know that they could apply, or couldn't apply early. Lottery is too random.","First come first served penalizes businesses that didn't know that they could apply, or couldn't apply early.","K"
"5edceace34669404354ab615","pf","Because a first come first serve might mean a business doesn't need the money as much as another business. The same goes for the lottery. It should be based on business damage and so forth.","The lottery means a business who deserves help might not get it, where another business who doesn't need as much help might get it.","K"
"5fc05560db042e0cdd185e59","lp","Businesses with more resources will be able to file paperwork faster. At least with a lottery there's a chance for the businesses with an actual need to get chosen. The points system can possibly be tricked.","First come first served is least fair because those who are not very good with paperwork would get left behind.","K"
"5c1ffe5295f978000173df84","pl","Businesses that haven't been hurt could get the grants, otherwise.","Those with more access to information would benefit from the first come method","K"
"5eb5bca60f43214b20ec5f1a","pl","It seems pretty counterintuitive, but this prioritizes the people that need in the most, specifically women and those of color. Men and the white demographic are more likely to withstand the tragedy that COVID has brought upon us.","A lottery is slightly more fair because at least its unbiased. A first come first served is a great opportunity to allow those with faster internet and/or bribery to occur (not that the lottery couldn't have bribery), but I think it's harder to influence a lottery than a first come first served basis.","K"
