"prol_id","choice","fr_why_first_over_second","fr_why_second_over_third","coder"
"5eed1bae9e63ac127ac15a77","pl","Give help to those who have the greatest need.  Well-connected businesses will be able to quickly apply for help, leaving other small busineeses behind.","FCFS is inherently unfair as it rewards businesses that are already well-connected. Many small businesses don't have a personal banker or their own accountant, or other connected individuals who might be able to more quickly file applications.","X"
"5cd393e40ced9200010b2e9c","pf","simply put the businesses who were affected most should be taken care of before anyone else","if you apply early you should be taken care of before others if your business needs it","X"
"5f8537000994cc2187ca8211","pl","Lottery is pure random, which is not always the most fair option. Certain companies and businesses have more resources to commit to a first come first serve style basis. A points system however really lets you evaluate each business at a critical level.","Certain bigger businesses would have more resources to get to bat first at first come first serve. At least random is random, which although is not perfect, would be better than that.","X"
"5fbecc1233812d000a94a7c3","lf","Even though information might travel faster these days, there might be one or tow barriers stopping people from getting it on time. Let the lottery decide when all have registered and that could only be fair,","If there is no lottery then serve whoever is first in the queue. Using point based in relation to racial minorities is wrong. All lives matter and prioritizing racial minorities is just wrong","X"
"5de99abbcaeb600d26c03722","lp","A lottery is completely blind when it comes to choosing businesses for grants. Every business has the same chance.","The points system is not fair to every business  but at least it gives priority to those businesses that need help the most. First come first served is easily manipulated by businesses with better political connections.","X"
"5d20","lf","Everyone an equal chance too be picked","Another equal chance for the people","X"
"5ca17355f1e809001169e3c8","lp","I feel everyone gets a fair chance without any considerations.","Not everyone knows the procedure on how to apply for these loans.","X"
"5c7e91c1973c990016ea72b0","pl","A weighted system increases the chances that someone who is more affected will receive the money. During initial disbursement of money for COVID-19-affected businesses, large sums of money were given to institutions (e.g., Harvard) and businesses that didn't need it. They took the money because they could.","The ""first-served"" include people who are more connected or informed. Some of the businesses that are most in need are the least in both of these areas. We shouldn't punish people because they weren't first in line.","X"
"5c156ad0d67cee0001700e1f","fp","the first come first serve is more fair to everybody because its not luck or biased.","its randomly selected, so a thriving business could get it, while a small struggling business won't get it.","X"
"5ec442be696044312e230721","pf","because there has to be some kind of criteria to select the business","because i believe who ever comes to get something has to get the sevice","X"
"5fd0e17af5362a0452653bca","fp","This way we can understand the importance of the business","This way is better than lottery to review","X"
"5c83374a1b699a00111c2e2d","pf","Because i think its more fair this way. So people get what they deserve instead of people getting it who dont deserve it.","Because a littery is random and people who try harder she be more entitled.","X"
"5fd5f7b87953e047b07ff2e2","fp","By doing this we can know his strength","Because it can give us a fair solution","X"
"55cfefc334e9060012e573c0","pf","It seems fair to help businesses that have been around longer and women need more help","First come appropriately serves those who apply first","X"
"5dd32014b51b3e33ec0d07cc","fp","It places everyone on an equal playing field","Other than checking  the race of the business owner, this is the best option","X"
"5a5a507d76d1c60001ab2ac7","lf","Because it is random. No one is above or below.  And whomever gets picked doesn't matter what category they fall into.","Because who decides to give the points? The minorities are getting points because they are a minority whether they worked harder or less. One business may have been operating for years and gets nothing while because a minority got more points they get the help.","X"
"5d44ea38d7d4b80015384976","pl","Because politicians have family or self owned businesses and they always serve themselves first.  Other businesses who may have been harder hit may not even be considered.","This seems more fair than giving money to the first 50 family owned (by politicians) businesses that apply.","X"
"5fc5b0f6a2d98d149da2e817","pl","I think it's because some businesses are doing okay while covid's happening and others are really in need of it and we need to separate them.","I don't think the lottery is good because the businesses that they might choose are doing okay.","X"
"570b7f8fb9b52b00102d9723","lf","Because it will mean that all eligible businesses will have the same chance as being one of the 500 that will receive the grant.  The other two methods are not fair.  One is based on who gets their paperwork in first.  The other is a point system based on different variables, these variables favor some businesses over others depending on the points and variables.","Because it relies heavily upon different variables for eligibility.  It is completely unfair that some businesses have an advantage over others based on the variables and the points weighed.","X"
"5dce9cf489b8310a1b19676e","fp","I think virtually all small businesses are deserving of this help at this time. so, to help expedite the bureaucracy with less paper work let's just start pushing the paper as soon as the applications come in.","Lottery seems the most random way to address this. It doesn't seem appropriate for this particular situation.","X"
"5db7bd876c5fc8000adcc2ba","pf","A point system will help to make sure that those who are most deserving get help.","I think that people who act fast are more deserving than any random person who wins in a lottery.","X"
"5c261a30b15f050001cefdb4","pl","It helps businesses who need the help the most.","Some small businesses need longer to apply so a lottery will be more helpful for these businesses.","X"
"5ee03ba87616b0383d515359","fp","This approach does not descriminate anyone and is absolutely fair approach to avoid any kind of favoritive","the COVID help should not rely on luck","X"
